vi	V(n003)	I(Rc)	I(Rb)
8.900000000000006e-01	6.307265e-01	8.422555e-04	2.592735e-06
9.000000000000006e-01	6.316414e-01	8.715944e-04	2.683586e-06
9.100000000000006e-01	6.325289e-01	9.010067e-04	2.774711e-06
9.200000000000006e-01	6.333905e-01	9.304871e-04	2.866095e-06
9.300000000000006e-01	6.342278e-01	9.600309e-04	2.957723e-06
9.400000000000006e-01	6.350418e-01	9.896338e-04	3.049582e-06
9.500000000000006e-01	6.358339e-01	1.019292e-03	3.141661e-06
9.600000000000006e-01	6.366053e-01	1.049001e-03	3.233947e-06
9.700000000000006e-01	6.373568e-01	1.078758e-03	3.326432e-06
9.800000000000006e-01	6.380897e-01	1.108559e-03	3.419104e-06
9.900000000000007e-01	6.388046e-01	1.138402e-03	3.511955e-06
1.000000000000001e+00	6.395024e-01	1.168283e-03	3.604976e-06
1.010000000000001e+00	6.401840e-01	1.198201e-03	3.698160e-06
1.020000000000001e+00	6.408500e-01	1.228152e-03	3.791500e-06
1.030000000000001e+00	6.415012e-01	1.258135e-03	3.884988e-06
1.040000000000001e+00	6.421382e-01	1.288147e-03	3.978619e-06
1.050000000000001e+00	6.427615e-01	1.318187e-03	4.072385e-06
1.060000000000001e+00	6.433718e-01	1.348251e-03	4.166282e-06
1.070000000000001e+00	6.439696e-01	1.378339e-03	4.260304e-06
1.080000000000001e+00	6.445554e-01	1.408450e-03	4.354446e-06
1.090000000000001e+00	6.451296e-01	1.438580e-03	4.448704e-06
1.100000000000001e+00	6.456927e-01	1.468730e-03	4.543073e-06
1.110000000000001e+00	6.462451e-01	1.498897e-03	4.637549e-06
1.120000000000001e+00	6.467872e-01	1.529080e-03	4.732127e-06
1.130000000000001e+00	6.473195e-01	1.559278e-03	4.826805e-06
1.140000000000001e+00	6.478422e-01	1.589490e-03	4.921579e-06
1.150000000000001e+00	6.483556e-01	1.619714e-03	5.016444e-06
1.160000000000001e+00	6.488602e-01	1.649950e-03	5.111398e-06
1.170000000000001e+00	6.493561e-01	1.680196e-03	5.206439e-06
1.180000000000001e+00	6.498438e-01	1.710453e-03	5.301562e-06
1.190000000000001e+00	6.503234e-01	1.740718e-03	5.396766e-06
1.200000000000001e+00	6.507952e-01	1.770990e-03	5.492048e-06
1.210000000000001e+00	6.512595e-01	1.801270e-03	5.587405e-06
1.220000000000001e+00	6.517166e-01	1.831556e-03	5.682834e-06
1.230000000000001e+00	6.521665e-01	1.861848e-03	5.778335e-06
1.240000000000001e+00	6.526097e-01	1.892144e-03	5.873903e-06
1.250000000000001e+00	6.530462e-01	1.922444e-03	5.969538e-06
1.260000000000001e+00	6.534762e-01	1.952748e-03	6.065237e-06
1.270000000000001e+00	6.539001e-01	1.983055e-03	6.160999e-06
1.280000000000001e+00	6.543179e-01	2.013364e-03	6.256822e-06
1.290000000000001e+00	6.547297e-01	2.043674e-03	6.352703e-06
1.300000000000001e+00	6.551358e-01	2.073986e-03	6.448642e-06
1.310000000000001e+00	6.555364e-01	2.104298e-03	6.544636e-06
1.320000000000001e+00	6.559315e-01	2.134611e-03	6.640685e-06
1.330000000000001e+00	6.563214e-01	2.164923e-03	6.736786e-06
1.340000000000001e+00	6.567062e-01	2.195234e-03	6.832938e-06
1.350000000000001e+00	6.570860e-01	2.225544e-03	6.929141e-06
1.360000000000001e+00	6.574608e-01	2.255852e-03	7.025392e-06
1.370000000000001e+00	6.578310e-01	2.286159e-03	7.121690e-06
1.380000000000001e+00	6.581965e-01	2.316463e-03	7.218035e-06
1.390000000000001e+00	6.585575e-01	2.346763e-03	7.314424e-06
1.400000000000001e+00	6.589142e-01	2.377061e-03	7.410858e-06
1.410000000000001e+00	6.592666e-01	2.407355e-03	7.507334e-06
1.420000000000001e+00	6.596147e-01	2.437646e-03	7.603852e-06
1.430000000000001e+00	6.599589e-01	2.467932e-03	7.700412e-06
1.440000000000001e+00	6.602990e-01	2.498213e-03	7.797010e-06
1.450000000000001e+00	6.606352e-01	2.528490e-03	7.893647e-06
1.460000000000001e+00	6.609677e-01	2.558762e-03	7.990323e-06
1.470000000000001e+00	6.612964e-01	2.589029e-03	8.087036e-06
1.480000000000001e+00	6.616215e-01	2.619289e-03	8.183784e-06
1.490000000000001e+00	6.619431e-01	2.649544e-03	8.280569e-06
