VDD	I(RB)
Step Information: V1=0  (Step: 1/6)
1.530000000000000e+00	-1.595727e-12
1.540000000000000e+00	-1.605727e-12
1.550000000000000e+00	-1.964782e-13
1.560000000000000e+00	-2.064782e-13
1.570000000000000e+00	-1.635727e-12
1.580000000000000e+00	-1.645727e-12
1.590000000000000e+00	-2.364782e-13
1.600000000000000e+00	-2.464782e-13
1.610000000000000e+00	-1.675727e-12
1.620000000000000e+00	-1.685727e-12
1.630000000000000e+00	-2.764781e-13
1.640000000000000e+00	-2.864781e-13
1.650000000000000e+00	-1.715727e-12
1.660000000000000e+00	-1.725727e-12
1.670000000000000e+00	-3.164781e-13
1.680000000000000e+00	-3.264781e-13
1.690000000000000e+00	-1.755727e-12
1.700000000000000e+00	-1.765727e-12
1.710000000000000e+00	-3.564781e-13
1.720000000000000e+00	-3.664781e-13
1.730000000000000e+00	-1.795727e-12
1.740000000000000e+00	-1.805727e-12
1.750000000000000e+00	-3.964781e-13
1.760000000000000e+00	-4.064781e-13
1.770000000000000e+00	-1.835727e-12
1.780000000000000e+00	-1.845727e-12
1.790000000000000e+00	-4.364781e-13
1.800000000000000e+00	-4.464781e-13
1.810000000000000e+00	-1.875727e-12
1.820000000000000e+00	-1.885727e-12
1.830000000000000e+00	-4.764781e-13
1.840000000000000e+00	-4.864781e-13
1.850000000000000e+00	-1.915727e-12
1.860000000000000e+00	-1.925727e-12
1.870000000000000e+00	-5.164781e-13
1.880000000000000e+00	-5.264781e-13
1.890000000000000e+00	-1.955727e-12
1.900000000000000e+00	-1.965727e-12
1.910000000000000e+00	-5.564781e-13
1.920000000000000e+00	-5.664781e-13
1.930000000000000e+00	-1.995727e-12
1.940000000000000e+00	-2.005727e-12
1.950000000000000e+00	-5.964781e-13
1.960000000000000e+00	-6.064781e-13
1.970000000000000e+00	-2.035727e-12
1.980000000000000e+00	-2.045727e-12
1.990000000000000e+00	-6.364781e-13
2.000000000000000e+00	-6.464780e-13
2.010000000000000e+00	-2.075727e-12
2.020000000000000e+00	-2.085727e-12
2.030000000000000e+00	-6.764781e-13
2.040000000000000e+00	-6.864781e-13
2.050000000000000e+00	-2.115727e-12
2.060000000000000e+00	-2.125727e-12
2.070000000000000e+00	-7.164780e-13
2.080000000000000e+00	-7.264781e-13
2.090000000000000e+00	-2.155727e-12
2.100000000000000e+00	-2.165727e-12
2.110000000000000e+00	-7.564781e-13
2.120000000000000e+00	-7.664780e-13
2.130000000000000e+00	-2.195727e-12
2.140000000000000e+00	-2.205727e-12
2.150000000000000e+00	-7.964780e-13
2.160000000000000e+00	-8.064780e-13
2.170000000000000e+00	-2.235727e-12
2.180000000000000e+00	-2.245727e-12
2.190000000000000e+00	-8.364780e-13
2.200000000000000e+00	-8.464780e-13
2.210000000000000e+00	-2.275727e-12
2.220000000000000e+00	-2.285727e-12
2.230000000000000e+00	-8.764780e-13
2.240000000000000e+00	-8.864780e-13
2.250000000000000e+00	-2.315727e-12
2.260000000000000e+00	-2.325727e-12
2.270000000000000e+00	-9.164780e-13
2.280000000000000e+00	-9.264780e-13
2.290000000000000e+00	-2.355727e-12
2.300000000000000e+00	-2.365727e-12
2.310000000000000e+00	-9.564780e-13
2.320000000000000e+00	-9.664780e-13
2.330000000000000e+00	-2.395727e-12
2.340000000000000e+00	-2.405727e-12
2.350000000000000e+00	-9.964780e-13
2.360000000000000e+00	-1.006478e-12
2.370000000000000e+00	-2.435727e-12
2.380000000000000e+00	-2.445727e-12
2.390000000000000e+00	-1.036478e-12
2.400000000000000e+00	-1.046478e-12
2.410000000000000e+00	-2.475727e-12
